Country Name,Country Code,UHC2017,CPI2017,GCDBHOSPITALS2019,CCIURB151617,CCIRUR151617,REGION,GDP2017,HDI2017,COCWB2017,COCWB2018,SDG32017
Afghanistan,AFG,37,15,,58,45.6,AP,20191764940,0.493,-1.517341,-1.496648,11.23
Albania,ALB,59,38,,,,ECA,13025064967,0.789,-0.418309,-0.5218667,68.73
Algeria,DZA,78,33,,,,MENA,1.67E+11,0.758,-0.6041752,-0.636465,58.85
Angola,AGO,40,19,,56.3,27.1,SSA,1.22E+11,0.576,-1.412488,-1.144541,26.37
Argentina,ARG,76,39,0.07,,,AME,6.43E+11,0.832,-0.255946,-0.0834675,64.52
Armenia,ARM,69,35,,77,70.3,ECA,11527458566,0.758,-0.5604561,-0.3491127,65.85
Australia,AUS,87,77,,,,AP,1.33E+12,0.937,1.79505,1.806201,79.92
Austria,AUT,79,75,,,,WE/EU,4.17E+11,0.912,1.526011,1.596262,75.05
Azerbaijan,AZE,65,31,,,,ECA,40865558912,0.752,-0.8853458,-0.8286031,60.62
"Bahamas, The",BHS,75,65,,,,AME,12150400000,0.804,1.173819,1.131102,
Bahrain,BHR,77,36,,,,MENA,35432686170,0.839,-0.1409596,-0.1472867,64.18
Bangladesh,BGD,48,28,,,,AP,2.50E+11,0.609,-0.8317309,-0.9050215,28.25
Barbados,BRB,77,68,0.05,,,AME,4989500000,0.813,1.421109,1.411373,
Belarus,BLR,76,44,,,,ECA,54726595249,0.815,-0.2575778,-0.1922756,53.88
Belgium,BEL,84,75,,,,WE/EU,5.03E+11,0.917,1.497117,1.510279,77.33
Benin,BEN,40,39,0.12,,,SSA,9269594835,0.515,-0.5541117,-0.3833744,22.28
Bhutan,BTN,62,67,,,,AP,2528007911,0.615,1.568294,1.646514,43.78
Bolivia,BOL,68,33,,,,AME,37508642258,0.7,-0.6573039,-0.62591,52.67
Bosnia and Herzegovina,BIH,61,38,,,,ECA,18080118128,0.767,-0.515448,-0.5718023,57.13
Botswana,BWA,61,61,0.01,,,SSA,17405538618,0.724,0.7951009,0.7505108,40.58
Brazil,BRA,79,37,0.05,,,AME,2.05E+12,0.76,-0.532073,-0.4196956,62.9
Brunei Darussalam,BRN,81,62,,,,AP,12128104859,0.843,0.712635,0.7953077,
Bulgaria,BGR,66,43,,,,WE/EU,58220973783,0.813,-0.1611123,-0.1515335,57.7
Burkina Faso,BFA,40,42,0.05,,,SSA,12330338343,0.429,-0.113755,-0.112395,20.67
Burundi,BDI,42,22,,65,62.3,SSA,3172292379,0.421,-1.283875,-1.450633,18.97
Cabo Verde,CPV,69,55,0.04,,,SSA,1769787215,0.647,0.8347586,0.7682196,
Cambodia,KHM,60,21,,,,AP,22180376506,0.578,-1.291381,-1.325572,36.28
Cameroon,CMR,46,25,0.22,,,SSA,34922782311,0.56,-1.199323,-1.149748,22.48
Canada,CAN,89,82,,,,AME,1.65E+12,0.921,1.924258,1.873514,78.73
Central African Republic,CAF,33,23,,,,SSA,2067230996,0.376,-1.173213,-1.233395,11.07
Chad,TCD,28,20,,,,SSA,9975692095,0.401,-1.432357,-1.410393,14.58
Chile,CHL,70,67,0.08,,,AME,2.78E+11,0.845,1.039291,1.012118,64.12
China,CHN,79,41,,,,AP,1.21E+13,0.753,-0.2699364,-0.2712442,61.7
Colombia,COL,76,37,0.1,,,AME,3.12E+11,0.76,-0.3700208,-0.3014929,66.5
Comoros,COM,52,27,,,,SSA,1074778461,0.539,-0.684956,-0.8164125,35.52
"Congo, Dem. Rep.",COD,41,21,,,,SSA,38019265626,0.456,-1.41812,-1.503398,0
"Congo, Rep.",COG,39,21,,,,AME,8701334800,0.609,-1.33061,-1.358807,0
Costa Rica,CRI,77,59,0.04,,,SSA,58174549218,0.792,0.4666402,0.5517608,70.23333333
Cote d'Ivoire,CIV,47,36,0.16,56.7,41.8,WE/EU,38053606751,0.512,-0.5253296,-0.4990963,25.96666667
Croatia,HRV,71,49,,,,AME,55319620158,0.835,0.1867006,0.1316391,68.86666667
Cuba,CUB,83,47,,,,WE/EU,96851000000,0.777,0.2656265,0.1654153,
Cyprus,CYP,78,57,,,,WE/EU,22638608224,0.871,0.7827289,0.6399662,76.78333333
Czech Republic,CZE,76,57,,,,SSA,2.16E+11,0.888,0.567677,0.5037321,73.33333333
Denmark,DNK,81,88,,,,WE/EU,3.29E+11,0.929,2.193379,2.147795,77.91666667
Djibouti,DJI,47,31,,,,SSA,2766868072,0.492,-0.6407171,-0.7168093,32.55
Dominican Republic,DOM,74,29,0.12,,,AME,79998045976,0.741,-0.7389133,-0.74949,58.05
Ecuador,ECU,77,32,,,,AME,1.04E+11,0.757,-0.5996184,-0.5617972,59.76666667
"Egypt, Arab Rep.",EGY,68,32,,,,MENA,2.35E+11,0.696,-0.5521881,-0.5869341,49.83333333
El Salvador,SLV,76,33,0.06,,,AME,24928000000,0.665,-0.5067081,-0.5911077,61.2
Equatorial Guinea,GNQ,45,17,,,,SSA,12289913729,0.59,-1.826361,-1.559684,
Eritrea,ERI,38,20,,,,SSA,6.72E+11,0.431,-1.20287,-1.316023,
Estonia,EST,75,71,,,,WE/EU,26792757827,0.879,1.242413,1.506318,70.96666667
Eswatini,SWZ,63,39,0.03,,,SSA,4446248678,0.603,0,0,31.91666667
Ethiopia,ETH,39,35,,70.8,41.6,SSA,81760441159,0.467,-0.5574791,-0.4861672,20.98333333
Finland,FIN,78,85,,,,WE/EU,2.54E+11,0.924,2.215811,2.21243,83.48333333
France,FRA,78,70,,,,WE/EU,2.59E+12,0.89,1.259483,1.316893,74.06666667
Gabon,GAB,49,32,0.23,,,SSA,14892609693,0.7,-0.8161141,-0.8512049,36.2
"Gambia, The",GMB,44,30,,,,SSA,1504954958,0.459,-0.6292393,-0.4630391,
Georgia,GEO,66,56,,,,ECA,16242956764,0.783,0.7445272,0.7079911,57.98333333
Germany,DEU,83,81,,,,WE/EU,3.66E+12,0.938,1.841089,1.946584,78.88333333
Ghana,GHA,47,40,0.12,,,SSA,58996776238,0.591,-0.2290351,-0.1149039,35.8
Greece,GRC,75,48,,,,WE/EU,2.03E+11,0.871,-0.1383459,-0.0660259,69.28333333
Grenada,GRD,72,52,,,,AME,1126882296,0.76,0.4753434,0.3765373,
Guatemala,GTM,55,28,0.14,,,AME,75620081928,0.649,-0.7398668,-0.8228126,53.66666667
Guinea,GIN,37,27,0.23,,,SSA,10324668267,0.463,-1.011108,-1.041717,22.51666667
Guinea-Bissau,GNB,40,17,,,,SSA,1346841897,0.46,-1.562825,-1.533724,
Guyana,GUY,72,38,0.08,,,AME,3555205811,0.668,-0.5081118,-0.2266977,50.26666667
